CRASH_ID,SER_NO,CRASH_DT,CRASH_MO_NO,CRASH_DAY_NO,CRASH_YR_NO,CRASH_WK_DAY_CD,CRASH_HR_NO,CRASH_HR_SHORT_DESC,CNTY_ID,CNTY_NM,CITY_SECT_ID,CITY_SECT_NM,URB_AREA_CD,URB_AREA_SHORT_NM,FC_CD,FC_SHORT_DESC,NHS_FLG,HWY_NO,HWY_SFX_NO,HWY_MED_NM,RDWY_NO,HWY_COMPNT_CD,HWY_COMPNT_SHORT_DESC,MLGE_TYP_CD,MLGE_TYP_SHORT_DESC,RD_CON_NO,LRS_VAL,LAT_DEG_NO,LAT_MINUTE_NO,LAT_SEC_NO,LONGTD_DEG_NO,LONGTD_MINUTE_NO,LONGTD_SEC_NO,LAT_DD,LONGTD_DD,AGY_ST_NO,ST_FULL_NM,ISECT_AGY_ST_NO,ISECT_ST_FULL_NM,ISECT_SEQ_NO,CMPSS_DIR_CD,MP_NO,POST_SPEED_LMT_VAL,RD_CHAR_CD,RD_CHAR_SHORT_DESC,OFF_RDWY_FLG,ISECT_TYP_CD,ISECT_TYP_SHORT_DESC,ISECT_REL_FLG,RNDABT_FLG,DRVWY_REL_FLG,LN_QTY,TURNG_LEG_QTY,MEDN_TYP_CD,MEDN_TYP_SHORT_DESC,IMPCT_LOC_CD,CRASH_TYP_CD,CRASH_TYP_SHORT_DESC,COLLIS_TYP_CD,COLLIS_TYP_SHORT_DESC,CRASH_SVRTY_CD,CRASH_SVRTY_SHORT_DESC,WTHR_COND_CD,WTHR_COND_SHORT_DESC,RD_SURF_COND_CD,RD_SURF_SHORT_DESC,LGT_COND_CD,LGT_COND_SHORT_DESC,TRAF_CNTL_DEVICE_CD,TRAF_CNTL_DEVICE_SHORT_DESC,TRAF_CNTL_FUNC_FLG,INVSTG_AGY_CD,INVSTG_AGY_SHORT_DESC,CRASH_EVNT_1_CD,CRASH_EVNT_1_SHORT_DESC,CRASH_EVNT_2_CD,CRASH_EVNT_2_SHORT_DESC,CRASH_EVNT_3_CD,CRASH_EVNT_3_SHORT_DESC,CRASH_CAUSE_1_CD,CRASH_CAUSE_1_SHORT_DESC,CRASH_CAUSE_2_CD,CRASH_CAUSE_2_SHORT_DESC,CRASH_CAUSE_3_CD,CRASH_CAUSE_3_SHORT_DESC,SCHL_ZONE_IND,WRK_ZONE_IND,ALCHL_INVLV_FLG,DRUG_INVLV_FLG,MJ_INVLV_FLG,CRASH_SPEED_INVLV_FLG,CRASH_HIT_RUN_FLG,POP_RNG_CD,POP_RNG_MED_DESC,RD_CNTL_CD,RD_CNTL_MED_DESC,RTE_TYP_CD,RTE_ID,RTE_NM,REG_ID,DIST_ID,SEG_MRK_ID,SEG_PT_LRS_MEAS,UNLOCT_FLG,CRASH_LAST_UD_DT,TOT_VHCL_CNT,TOT_FATAL_CNT,TOT_INJ_LVL_A_CNT,TOT_INJ_LVL_B_CNT,TOT_INJ_LVL_C_CNT,TOT_INJ_CNT,TOT_UNINJD_AGE00_04_CNT,TOT_UNINJD_PER_CNT,TOT_PED_CNT,TOT_PED_FATAL_CNT,TOT_PED_INJ_LVL_A_CNT,TOT_PED_INJ_CNT,TOT_PEDCYCL_CNT,TOT_PEDCYCL_FATAL_CNT,TOT_PEDCYCL_INJ_LVL_A_CNT,TOT_PEDCYCL_INJ_CNT,TOT_UNKNWN_CNT,TOT_UNKNWN_FATAL_CNT,TOT_UNKNWN_INJ_CNT,TOT_OCCUP_CNT,TOT_PER_INVLV_CNT,TOT_SFTY_EQUIP_USED_QTY,TOT_SFTY_EQUIP_UNUSED_QTY,TOT_SFTY_EQUIP_USE_UNKNWN_QTY,TOT_PSNGR_VHCL_OCC_UNRESTRND_FATAL_CNT,TOT_MCYCLST_FATAL_CNT,TOT_MCYCLST_INJ_LVL_A_CNT,TOT_MCYCLST_INJ_CNT,TOT_MCYCLST_UNHELMTD_FATAL_CNT,TOT_ALCHL_IMPAIRED_DRVR_INV_FATAL_CNT,TOT_DRVR_AGE_01_20_CNT,LANE_RDWY_DPRT_CRASH_FLG
1805729,544,2019-06-06,6,6,2019,5,13,1P,10,Douglas,NA,NA,NA,NA,7,R MJ-COL,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,55,23.38,-123,26,0.68,42.9231611111107,-123.433522222221,STANPK,STANTON PARK RD,NA,"
    ",NA,0,0.77,NA,3,STRGHT,0,NA,NA,0,0,0,2,NA,0,NONE,3,3,PED,0,PED,2,FAT,1,CLR,1,DRY,1,DAY,0,NONE,1,2,COUNTY,82,VEH HID,NA,NA,NA,NA,2,NO-YIELD,18,IN RDWY,40,VIEW OBS,0,0,0,0,0,0,0,NA,NA,6,RURAL COUNTY ROAD,NA,NA,NA,3,07,255_1803972,NA,0,2021-05-05T20:10:22Z,1,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,3,4,2,0,1,0,0,0,0,0,0,0,N
1805737,2920,2019-06-03,6,3,2019,2,99,UNK,34,Washington,NA,NA,57,PORTLAND UA,18,U MN-COL,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,34,18.26,-122,57,34.54,45.5717388888887,-122.959594444444,01544,NW MEEK RD,05271,NW 271ST AVE,1,8,NA,NA,7,GRADE,1,NA,NA,0,0,0,2,NA,0,NONE,7,0,NON-COLL,8,NCOL,2,FAT,0,UNK,0,UNK,0,UNK,0,NONE,1,2,COUNTY,1,FEL/JUMP,128,CURVE INV,NA,NA,1,TOO-FAST,NA,NA,NA,NA,0,0,0,1,0,1,0,NA,NA,9,SUBURBAN COUNTY ROAD,NA,NA,NA,1,02B,58_234928,NA,0,2021-05-05T23:50:10Z,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,Y
1805752,419,2019-06-11,6,11,2019,3,12,12P,2,Benton,NA,NA,NA,NA,7,R MJ-COL,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,19,45.72,-123,22,13.53,44.3293666666667,-123.370425,45120,ALPINE RD,NA,"
    ",NA,0,4.12,55,3,STRGHT,0,NA,NA,0,0,0,2,NA,0,NONE,5,G,O-STRGHT,2,HEAD,2,FAT,1,CLR,1,DRY,1,DAY,99,UNKNOWN,1,2,COUNTY,NA,NA,NA,NA,NA,NA,1,TOO-FAST,5,LEFT-CTR,NA,NA,0,0,0,0,0,1,0,NA,NA,6,RURAL COUNTY ROAD,NA,NA,NA,2,04,9_3168,NA,0,2021-05-05T14:32:37Z,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,1,0,0,0,0,0,0,Y
1805760,5508,2019-06-12,6,12,2019,4,15,3P,26,Multnomah,83,Gresham,57,PORTLAND UA,14,U PR-ART,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,29,58.96,-122,24,42.13,45.4997111111103,-122.411702777777,00232,NE BURNSIDE RD,01023,NE HOGAN DR,1,4,NA,35,2,ALLEY,0,NA,NA,0,0,0,4,NA,0,NONE,8,H,O-1 L-TURN,6,TURN,2,FAT,1,CLR,1,DRY,1,DAY,1,TRF SIGNAL,1,3,CITY,NA,NA,NA,NA,NA,NA,2,NO-YIELD,NA,NA,NA,NA,0,0,0,0,0,0,0,8,"100,001 to 200,000",3,URBAN CITY STREET,NA,NA,NA,1,02C,58_123063,NA,0,2021-05-05T18:08:15Z,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,1,0,0,0,0,1,N
1805768,948,2019-06-12,6,12,2019,4,99,UNK,22,Linn,NA,NA,NA,NA,7,R MJ-COL,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,19,46.64,-122,45,3.21,44.3296222222217,-122.750891666666,00759,UPPER CALAPOOIA DR,NA,"
    ",NA,0,2.43,NA,3,STRGHT,1,NA,NA,0,0,0,2,NA,0,NONE,0,8,FIX OBJ,9,FIX,2,FAT,0,UNK,0,UNK,0,UNK,99,UNKNOWN,1,2,COUNTY,79,DITCH,62,TREE,1,FEL/JUMP,1,TOO-FAST,NA,NA,NA,NA,0,0,1,1,0,1,0,NA,NA,6,RURAL COUNTY ROAD,NA,NA,NA,2,04,19_43006814,NA,0,2021-05-05T15:00:48Z,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,Y
1805782,290,2019-06-15,6,15,2019,7,2,2A,21,Lincoln,NA,NA,NA,NA,9,R LOCAL,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,34,7.59,-123,56,26.32,44.5687749999997,-123.940644444444,1000RD,1000 LINE RD,NA,"
    ",NA,0,1.4,NA,5,CURVE,1,NA,NA,0,0,0,2,NA,0,NONE,0,&,OVERTURN,8,NCOL,2,FAT,1,CLR,1,DRY,3,DARK,0,NONE,1,2,COUNTY,1,FEL/JUMP,NA,NA,NA,NA,1,TOO-FAST,33,RECKLESS,NA,NA,0,0,1,0,0,1,1,NA,NA,6,RURAL COUNTY ROAD,NA,NA,NA,2,04,90_21000002,NA,0,2021-05-05T14:22:57Z,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,1,0,0,0,0,1,0,Y
1805802,2304,2019-06-16,6,16,2019,1,13,1P,24,Marion,NA,NA,NA,NA,2,R PR-ART,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,13,46.02,-122,53,3.74,45.2294499999997,-122.884372222221,00096,MCKAY RD NE,NA,"
    ",NA,0,1.37,NA,7,GRADE,0,NA,NA,0,0,0,2,NA,0,NONE,5,G,O-STRGHT,2,HEAD,2,FAT,1,CLR,1,DRY,1,DAY,99,UNKNOWN,1,2,COUNTY,NA,NA,NA,NA,NA,NA,30,SPEED,5,LEFT-CTR,NA,NA,0,0,1,0,0,1,0,NA,NA,6,RURAL COUNTY ROAD,NA,NA,NA,2,03,53_10022675,NA,0,2021-05-05T16:42:07Z,2,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,2,0,Y
1805813,600,2019-06-17,6,17,2019,2,16,4P,10,Douglas,NA,NA,NA,NA,8,R MN-COL,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,22,48.51,-123,31,7.45,43.3801416666667,-123.518736111111,00033,TYEE RD,NA,"
    ",NA,0,3.62,NA,5,CURVE,0,NA,NA,0,0,0,2,NA,0,NONE,5,G,O-STRGHT,2,HEAD,2,FAT,1,CLR,1,DRY,1,DAY,99,UNKNOWN,1,2,COUNTY,NA,NA,NA,NA,NA,NA,5,LEFT-CTR,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,6,RURAL COUNTY ROAD,NA,NA,NA,3,07,255_1815351,NA,0,2021-05-05T20:37:21Z,2,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,Y
1806549,99998,2019-05-05,5,5,2019,1,10,10A,15,Jackson,33,Central Point,44,MEDFORD UA,19,U LOCAL,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,21,56.75,-122,54,54.17,42.365763888888,-122.915047222222,02306,TIMOTHY ST,00144,CHICORY LN,1,7,NA,NA,3,STRGHT,0,NA,NA,0,0,0,2,NA,0,NONE,8,6,BIKE,&,OTH,2,FAT,1,CLR,1,DRY,1,DAY,0,NONE,1,3,CITY,24,V DOOR OPN,NA,NA,NA,NA,2,NO-YIELD,NA,NA,NA,NA,NA,NA,0,0,0,0,0,5,"10,001 to 25,000",3,URBAN CITY STREET,NA,NA,NA,3,08,142_8502,NA,0,2021-05-06T11:42:19Z,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,N
1806550,5200,2019-06-23,6,23,2019,1,3,3A,26,Multnomah,245,Portland SE,57,PORTLAND UA,17,U MJ-COL,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,28,7.2,-122,34,58.76,45.4686666666667,-122.582988888889,00817,SE FLAVEL ST,05078,SE 78TH AVE,1,3,NA,30,1,INTER,0,3,3-LEG,0,0,0,NA,0,NA,NA,6,3,PED,0,PED,2,FAT,1,CLR,1,DRY,2,DLIT,4,STOP SIGN,1,3,CITY,NA,NA,NA,NA,NA,NA,1,TOO-FAST,33,RECKLESS,NA,NA,0,0,1,1,0,1,0,9,"Over 200,000",1,PORTLAND CITY STREET,NA,NA,NA,1,02B,58_129698,NA,0,2021-05-05T19:51:17Z,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,N
