"location_id","latitude","longitude"
0,45.51845,-122.778656
1,45.51845,-123.06123
2,45.377853,-122.816895
3,45.51845,-122.49608
4,45.377853,-122.5352
5,45.448154,-122.5862
6,45.51845,-122.91994
7,45.51845,-122.63736
8,45.58875,-122.68869
9,45.377853,-122.67604
10,45.51845,-122.3548
11,45.307556,-122.765625
